"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Функциональность авторизации","1","0","","0"
"0","","0","Функциональность регистрации","1","0","","0"
"0","","0","Функциональность создания рецепта","1","0","","0"
