"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет, что пользователь успешно вводит учетные данные и заходит в аккаунт","1774","Проверка успешной авторизации","tests","Sun Apr 06 21:32:22 GMT+03:00 2025","passed","Sun Apr 06 21:32:23 GMT+03:00 2025","TestAuthorization","Авторизация пользователя","",""
"Тест проверяет, что пользователь успешно вводит учетные данные и заходит в аккаунт","1334","Проверка успешной регистрации","tests","Sun Apr 06 21:32:39 GMT+03:00 2025","passed","Sun Apr 06 21:32:41 GMT+03:00 2025","TestRegistration","Регистрация пользователя","",""
"Тест проверяет, что пользователь успешно вводит все данные и создает рецепт","6500","Проверка успешного создания рецепта","tests","Sun Apr 06 21:32:28 GMT+03:00 2025","passed","Sun Apr 06 21:32:35 GMT+03:00 2025","TestCreateRecipe","Создание рецепта","",""
